Country,Location,Year,Month,Hour,Datum,Status Mission,Price_launch,Company,Model,Serie,Cargo,Price,Status Rocket,Status,Liftoff Thrust,Stages,Strap-ons,Rocket Height,Fairing Diameter,Fairing Height,Payload to LEO,Payload to GTO,Wiki
USA,"Blue Origin Launch Site, West Texas, Texas, USA",2015,4,0,2015-04-29 00:00:00,Success,,Blue Origin,New Shepard,New,NS-1,,StatusActive,Active,490,2,0,18.0,,,0.0,0.0,https://en.wikipedia.org/wiki/New_Shepard
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2015,4,23,2015-04-27 23:03:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,Turkmen??lem52E/MonacoSat,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
France,"ELA-3, Guiana Space Centre, French Guiana, France",2015,4,20,2015-04-26 20:00:00+00:00,Success,200.0 ,Arianespace,Ariane 5 ECA,Ariane,"Thor 7, SICRAL-2",200.0,StatusActive,Active,15120,2,2,53.0,5.4,17.0,21.0,10.5,https://en.wikipedia.org/wiki/Ariane_5
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2015,4,20,2015-04-15 20:10:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,CRS-6,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",2015,3,13,2015-03-31 13:47:00+00:00,Success,41.8 ,VKS RF,Rokot/Briz KM,Rokot,Cosmos 2504 & Goniets-M 21 to 23,41.8,StatusRetired,Retired,,3,0,29.0,,,2.14,0.0,https://en.wikipedia.org/wiki/Rokot
India,"Second Launch Pad, Satish Dhawan Space Centre, India",2015,3,11,2015-03-28 11:49:00+00:00,Success,31.0 ,ISRO,PSLV-XL,PSLV,IRNSS-1D,31.0,StatusActive,Active,7661,4,6,44.0,3.2,8.3,3.25,1.41,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants
France,"ELS, Guiana Space Centre, French Guiana, France",2015,3,21,2015-03-27 21:46:00+00:00,Success,,Arianespace,Soyuz ST-B/Fregat-MT,Soyuz,Galileo FOC FM03-FM04,,StatusActive,Active,,4,4,46.2,4.11,11.4,0.0,3.25,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b
Japan,"LA-Y1, Tanegashima Space Center, Japan",2015,3,1,2015-03-26 01:21:00+00:00,Success,90.0 ,MHI,H-IIA 202,H,IGS-Optical 5,90.0,StatusActive,Active,,2,2,53.0,4.07,12.0,10.0,4.1,https://en.wikipedia.org/wiki/H-IIA
Russia,"Site 370/13, Yasny Cosmodrome, Russia",2015,3,22,2015-03-25 22:08:00+00:00,Success,29.0 ,Kosmotras,Dnepr,Dnepr,KompSat-3A,29.0,StatusRetired,Retired,4520,3,0,34.3,3.0,,4.5,0.0,https://en.wikipedia.org/wiki/Dnepr_(rocket)
USA,"SLC-37B, Cape Canaveral AFS, Florida, USA",2015,3,18,2015-03-25 18:36:00+00:00,Success,164.0 ,ULA,"Delta IV Medium+ (4,2)",Delta,GPS IIF-9,164.0,StatusRetired,Retired,4895,2,2,62.5,4.0,11.75,10.44,6.39,https://en.wikipedia.org/wiki/Delta_IV
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2015,3,2,2015-03-13 02:44:00+00:00,Success,123.0 ,ULA,Atlas V 421,Atlas,MMS,123.0,StatusActive,Active,7204,2,2,58.3,4.2,13.8,13.6,6.89,https://en.wikipedia.org/wiki/Atlas_V
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2015,3,3,2015-03-02 03:50:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,ABS-3A & EUTELSAT 115 West B,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
Iran,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2015,2,0,2015-02-17 00:00:00,Failure,,ISA,Safir-1B+,Safir,Unknown Payload,,StatusActive,Active,337,2,0,26.0,,,0.05,0.0,https://en.wikipedia.org/wiki/Safir_(rocket)
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2015,2,23,2015-02-11 23:03:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,DSCOVR,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
France,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2015,2,13,2015-02-11 13:40:00+00:00,Success,37.0 ,Arianespace,Vega,Vega,IXV,37.0,StatusActive,Active,2200,4,0,29.9,2.6,7.88,1.436,0.0,https://en.wikipedia.org/wiki/Vega_(rocket)
Iran,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2015,2,0,2015-02-02 00:00:00,Success,,ISA,Safir-1B+,Safir,Fajr,,StatusActive,Active,337,2,0,26.0,,,0.05,0.0,https://en.wikipedia.org/wiki/Safir_(rocket)
Japan,"LA-Y1, Tanegashima Space Center, Japan",2015,2,1,2015-02-01 01:21:00+00:00,Success,90.0 ,MHI,H-IIA 202,H,IGS-Radar 5,90.0,StatusActive,Active,,2,2,53.0,4.07,12.0,10.0,4.1,https://en.wikipedia.org/wiki/H-IIA
USA,"SLC-2W, Vandenberg AFB, California, USA",2015,1,14,2015-01-31 14:22:00+00:00,Success,,ULA,Delta II 7320-10C,Delta,SMAP / ELaNa X,,StatusRetired,Retired,2533,2,3,38.9,3.0,8.9,2.7030000000000003,0.0,https://en.wikipedia.org/wiki/Delta_II
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2015,1,1,2015-01-21 01:04:00+00:00,Success,153.0 ,ULA,Atlas V 551,Atlas,MUOS-3,153.0,StatusActive,Active,12269,2,5,62.2,5.4,26.5,18.85,8.9,https://en.wikipedia.org/wiki/Atlas_V
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2015,1,9,2015-01-10 09:47:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,CRS-5,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
Russia,"Site 35/1, Plesetsk Cosmodrome, Russia",2014,12,5,2014-12-23 05:57:00+00:00,Success,,Khrunichev,Angara A5/Briz-M,Angara,Demo Flight,,StatusActive,Active,7680,3,4,,,,0.0,5.4,https://en.wikipedia.org/wiki/Angara_(rocket_family)#Angara_A5
Kazakhstan,"Site 175/59, Baikonur Cosmodrome, Kazakhstan",2014,12,4,2014-12-19 04:43:00+00:00,Success,,VKS RF,Strela,Strela,Kondor-E,,StatusRetired,Retired,2080,3,0,29.2,1.55,5.4,1.5,0.0,https://en.wikipedia.org/wiki/Strela_(rocket)
France,"ELS, Guiana Space Centre, French Guiana, France",2014,12,18,2014-12-18 18:37:00+00:00,Success,,Arianespace,Soyuz ST-B/Fregat-MT,Soyuz,O3b FM09-FM12,,StatusActive,Active,,4,4,46.2,4.11,11.4,0.0,3.25,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b
India,"Second Launch Pad, Satish Dhawan Space Centre, India",2014,12,4,2014-12-18 04:00:00+00:00,Success,62.0 ,ISRO,GSLV Mk III,GSLV Mk,Demo Flight (CARE),62.0,StatusActive,Active,11898,3,2,43.4,5.0,,10.0,4.0,https://en.wikipedia.org/wiki/Geosynchronous_Satellite_Launch_Vehicle_Mark_III
USA,"SLC-3E, Vandenberg AFB, California, USA",2014,12,3,2014-12-13 03:19:00+00:00,Success,145.0 ,ULA,Atlas V 541,Atlas,NROL-35,145.0,StatusActive,Active,10581,2,4,62.2,5.4,26.5,17.41,8.29,https://en.wikipedia.org/wiki/Atlas_V
France,"ELA-3, Guiana Space Centre, French Guiana, France",2014,12,20,2014-12-06 20:40:00+00:00,Success,200.0 ,Arianespace,Ariane 5 ECA,Ariane,"DirecTV-14, GSAT-16",200.0,StatusActive,Active,15120,2,2,53.0,5.4,17.0,21.0,10.5,https://en.wikipedia.org/wiki/Ariane_5
USA,"SLC-37B, Cape Canaveral AFS, Florida, USA",2014,12,12,2014-12-05 12:05:00+00:00,Success,350.0 ,ULA,Delta IV Heavy,Delta,EFT-1,350.0,StatusActive,Active,9411,2,2,72.0,5.1,19.1,28.37,13.81,https://en.wikipedia.org/wiki/Delta_IV_Heavy
Japan,"LA-Y1, Tanegashima Space Center, Japan",2014,12,4,2014-12-03 04:22:00+00:00,Success,90.0 ,MHI,H-IIA 202,H,Hayabusa 2 & Others,90.0,StatusActive,Active,,2,2,53.0,4.07,12.0,10.0,4.1,https://en.wikipedia.org/wiki/H-IIA
China,"Site 95, Jiuquan Satellite Launch Center, China",2014,11,6,2014-11-21 06:37:00+00:00,Success,,CASIC,Kuaizhou 1,Kuaizhou,Kuaizhou 2,,StatusRetired,Retired,,3,0,,1.4,4.0,0.0,0.0,https://en.wikipedia.org/wiki/Kuaizhou
Russia,"Site 370/13, Yasny Cosmodrome, Russia",2014,11,7,2014-11-06 07:35:00+00:00,Success,29.0 ,Kosmotras,Dnepr,Dnepr,Sasuke & Others,29.0,StatusRetired,Retired,4520,3,0,34.3,3.0,,4.5,0.0,https://en.wikipedia.org/wiki/Dnepr_(rocket)
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2014,10,17,2014-10-29 17:21:00+00:00,Success,109.0 ,ULA,Atlas V 401,Atlas,GPS IIF-8,109.0,StatusActive,Active,3826,2,0,58.3,4.2,13.8,9.797,4.75,https://en.wikipedia.org/wiki/Atlas_V
USA,"LP-0A, Wallops Flight Facility, Virginia, USA",2014,10,22,2014-10-28 22:22:00+00:00,Failure,80.0 ,Northrop,Antares 130,Antares,CRS Orb-3,80.0,StatusRetired,Retired,1630,2,0,40.5,3.94,9.87,5.1,0.0,https://en.wikipedia.org/wiki/Antares_(rocket)
France,"ELA-3, Guiana Space Centre, French Guiana, France",2014,10,21,2014-10-16 21:43:00+00:00,Success,200.0 ,Arianespace,Ariane 5 ECA,Ariane,"Intelsat 30, ARSAT-1",200.0,StatusActive,Active,15120,2,2,53.0,5.4,17.0,21.0,10.5,https://en.wikipedia.org/wiki/Ariane_5
India,"First Launch Pad, Satish Dhawan Space Centre, India",2014,10,20,2014-10-16 20:02:00+00:00,Success,31.0 ,ISRO,PSLV-XL,PSLV,IRNSS-1C,31.0,StatusActive,Active,7661,4,6,44.0,3.2,8.3,3.25,1.41,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants
Japan,"LA-Y1, Tanegashima Space Center, Japan",2014,10,5,2014-10-07 05:16:00+00:00,Success,90.0 ,MHI,H-IIA 202,H,Himawari 8,90.0,StatusActive,Active,,2,2,53.0,4.07,12.0,10.0,4.1,https://en.wikipedia.org/wiki/H-IIA
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,9,5,2014-09-21 05:52:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,CRS-4,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2014,9,0,2014-09-17 00:10:00+00:00,Success,109.0 ,ULA,Atlas V 401,Atlas,CLIO,109.0,StatusActive,Active,3826,2,0,58.3,4.2,13.8,9.797,4.75,https://en.wikipedia.org/wiki/Atlas_V
France,"ELA-3, Guiana Space Centre, French Guiana, France",2014,9,22,2014-09-11 22:05:00+00:00,Success,200.0 ,Arianespace,Ariane 5 ECA,Ariane,"MEASAT 3b, Optus 10",200.0,StatusActive,Active,15120,2,2,53.0,5.4,17.0,21.0,10.5,https://en.wikipedia.org/wiki/Ariane_5
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,9,5,2014-09-07 05:00:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,AsiaSat 6,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
France,"ELS, Guiana Space Centre, French Guiana, France",2014,8,12,2014-08-22 12:27:00+00:00,Partial Failure,,Arianespace,Soyuz ST-B/Fregat-MT,Soyuz,Galileo FOC FM01-FM02,,StatusActive,Active,,4,4,46.2,4.11,11.4,0.0,3.25,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b
USA,"SLC-3E, Vandenberg AFB, California, USA",2014,8,18,2014-08-13 18:30:00+00:00,Success,109.0 ,ULA,Atlas V 401,Atlas,WorldView 3,109.0,StatusActive,Active,3826,2,0,58.3,4.2,13.8,9.797,4.75,https://en.wikipedia.org/wiki/Atlas_V
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,8,8,2014-08-05 08:00:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,AsiaSat 8,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2014,8,3,2014-08-02 03:23:00+00:00,Success,109.0 ,ULA,Atlas V 401,Atlas,GPS IIF-7,109.0,StatusActive,Active,3826,2,0,58.3,4.2,13.8,9.797,4.75,https://en.wikipedia.org/wiki/Atlas_V
France,"ELA-3, Guiana Space Centre, French Guiana, France",2014,7,23,2014-07-29 23:47:00+00:00,Success,,Arianespace,Ariane 5 ES,Ariane,Georges Lema??tre ATV,,StatusRetired,Retired,15120,2,2,50.5,5.4,17.0,21.0,0.0,https://en.wikipedia.org/wiki/Ariane_5
USA,"SLC-37B, Cape Canaveral AFS, Florida, USA",2014,7,23,2014-07-28 23:28:00+00:00,Success,164.0 ,ULA,"Delta IV Medium+ (4,2)",Delta,AFSPC-4,164.0,StatusRetired,Retired,4895,2,2,62.5,4.0,11.75,10.44,6.39,https://en.wikipedia.org/wiki/Delta_IV
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,7,15,2014-07-14 15:15:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,OG2 Mission 1,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
USA,"LP-0A, Wallops Flight Facility, Virginia, USA",2014,7,16,2014-07-13 16:52:00+00:00,Success,80.0 ,Northrop,Antares 120,Antares,CRS Orb-2,80.0,StatusRetired,Retired,1630,2,0,40.5,3.94,9.87,4.6,1.5,https://en.wikipedia.org/wiki/Antares_(rocket)
France,"ELS, Guiana Space Centre, French Guiana, France",2014,7,18,2014-07-10 18:55:00+00:00,Success,,Arianespace,Soyuz ST-B/Fregat-MT,Soyuz,O3b FM03/FM06-FM08,,StatusActive,Active,,4,4,46.2,4.11,11.4,0.0,3.25,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b
Russia,"Site 35/1, Plesetsk Cosmodrome, Russia",2014,7,12,2014-07-09 12:00:00+00:00,Success,,VKS RF,Angara 1.2,Angara,Demo Flight,,StatusActive,Active,196,2,0,41.5,,,3.7,0.0,https://en.wikipedia.org/wiki/Angara_(rocket_family)
Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",2014,7,12,2014-07-03 12:43:00+00:00,Success,41.8 ,VKS RF,Rokot/Briz KM,Rokot,Goniets-M 18 to 20,41.8,StatusRetired,Retired,,3,0,29.0,,,2.14,0.0,https://en.wikipedia.org/wiki/Rokot
USA,"SLC-2W, Vandenberg AFB, California, USA",2014,7,9,2014-07-02 09:56:00+00:00,Success,,ULA,Delta II 7320-10C,Delta,OCO-2,,StatusRetired,Retired,2533,2,3,38.9,3.0,8.9,2.7030000000000003,0.0,https://en.wikipedia.org/wiki/Delta_II
India,"First Launch Pad, Satish Dhawan Space Centre, India",2014,6,4,2014-06-30 04:22:00+00:00,Success,21.0 ,ISRO,PSLV-CA,PSLV,SPOT-7 & Rideshares,21.0,StatusActive,Active,4847,4,0,44.0,3.2,8.3,0.0,0.0,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants
Russia,"Site 370/13, Yasny Cosmodrome, Russia",2014,6,19,2014-06-19 19:11:00+00:00,Success,29.0 ,Kosmotras,Dnepr,Dnepr,Deimos 2,29.0,StatusRetired,Retired,4520,3,0,34.3,3.0,,4.5,0.0,https://en.wikipedia.org/wiki/Dnepr_(rocket)
Ukraine,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",2014,5,21,2014-05-24 21:09:00+00:00,Success,,Sea Launch,Zenit-3 SL,Zenit,Eutelsat-3B,,StatusActive,Active,8180,3,0,59.6,3.9,,13.74,6.0,https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29
Japan,"LA-Y1, Tanegashima Space Center, Japan",2014,5,3,2014-05-24 03:05:00+00:00,Success,90.0 ,MHI,H-IIA 202,H,"Daichi 2, SPROUT & Others",90.0,StatusActive,Active,,2,2,53.0,4.07,12.0,10.0,4.1,https://en.wikipedia.org/wiki/H-IIA
Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",2014,5,5,2014-05-23 05:27:00+00:00,Success,41.8 ,VKS RF,Rokot/Briz KM,Rokot,Cosmos 2496 to 2499,41.8,StatusRetired,Retired,,3,0,29.0,,,2.14,0.0,https://en.wikipedia.org/wiki/Rokot
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2014,5,13,2014-05-22 13:09:00+00:00,Success,109.0 ,ULA,Atlas V 401,Atlas,NROL-33,109.0,StatusActive,Active,3826,2,0,58.3,4.2,13.8,9.797,4.75,https://en.wikipedia.org/wiki/Atlas_V
USA,"SLC-37B, Cape Canaveral AFS, Florida, USA",2014,5,0,2014-05-17 00:03:00+00:00,Success,164.0 ,ULA,"Delta IV Medium+ (4,2)",Delta,GPS IIF-6,164.0,StatusRetired,Retired,4895,2,2,62.5,4.0,11.75,10.44,6.39,https://en.wikipedia.org/wiki/Delta_IV
France,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2014,4,1,2014-04-30 01:35:00+00:00,Success,37.0 ,Arianespace,Vega,Vega,KazEOSat-1,37.0,StatusActive,Active,2200,4,0,29.9,2.6,7.88,1.436,0.0,https://en.wikipedia.org/wiki/Vega_(rocket)
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,4,19,2014-04-18 19:25:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,CRS-3,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2014,4,17,2014-04-10 17:45:00+00:00,Success,145.0 ,ULA,Atlas V 541,Atlas,NROL-67,145.0,StatusActive,Active,10581,2,4,62.2,5.4,26.5,17.41,8.29,https://en.wikipedia.org/wiki/Atlas_V
Israel,"Pad 1, Palmachim Airbase, Israel",2014,4,0,2014-04-09 00:00:00,Success,,IAI,Shavit-2,Shavit,Ofek-10,,StatusActive,Active,554,3,0,22.0,1.35,4.37,0.35,0.0,https://en.wikipedia.org/wiki/Shavit
India,"First Launch Pad, Satish Dhawan Space Centre, India",2014,4,11,2014-04-04 11:44:00+00:00,Success,31.0 ,ISRO,PSLV-XL,PSLV,IRNSS-1B,31.0,StatusActive,Active,7661,4,6,44.0,3.2,8.3,3.25,1.41,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants
France,"ELS, Guiana Space Centre, French Guiana, France",2014,4,21,2014-04-03 21:02:00+00:00,Success,,Arianespace,Soyuz ST-A/Fregat-M,Soyuz,Sentinel 1A,,StatusActive,Active,4150,4,4,46.2,4.11,11.4,0.0,2.81,https://en.wikipedia.org/wiki/Soyuz-2
USA,"SLC-3E, Vandenberg AFB, California, USA",2014,4,14,2014-04-03 14:46:00+00:00,Success,109.0 ,ULA,Atlas V 401,Atlas,DMSP-5D3 F19,109.0,StatusActive,Active,3826,2,0,58.3,4.2,13.8,9.797,4.75,https://en.wikipedia.org/wiki/Atlas_V
France,"ELA-3, Guiana Space Centre, French Guiana, France",2014,3,22,2014-03-22 22:04:00+00:00,Success,200.0 ,Arianespace,Ariane 5 ECA,Ariane,"Astra 5B, Amazonas 4A",200.0,StatusActive,Active,15120,2,2,53.0,5.4,17.0,21.0,10.5,https://en.wikipedia.org/wiki/Ariane_5
Japan,"LA-Y1, Tanegashima Space Center, Japan",2014,2,18,2014-02-27 18:37:00+00:00,Success,90.0 ,MHI,H-IIA 202,H,GPM-Core & Others,90.0,StatusActive,Active,,2,2,53.0,4.07,12.0,10.0,4.1,https://en.wikipedia.org/wiki/H-IIA
USA,"SLC-37B, Cape Canaveral AFS, Florida, USA",2014,2,1,2014-02-21 01:59:00+00:00,Success,164.0 ,ULA,"Delta IV Medium+ (4,2)",Delta,GPS IIF-5,164.0,StatusRetired,Retired,4895,2,2,62.5,4.0,11.75,10.44,6.39,https://en.wikipedia.org/wiki/Delta_IV
France,"ELA-3, Guiana Space Centre, French Guiana, France",2014,2,21,2014-02-06 21:30:00+00:00,Success,200.0 ,Arianespace,Ariane 5 ECA,Ariane,"ABS-2, Athena-Fidus",200.0,StatusActive,Active,15120,2,2,53.0,5.4,17.0,21.0,10.5,https://en.wikipedia.org/wiki/Ariane_5
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2014,1,2,2014-01-24 02:33:00+00:00,Success,109.0 ,ULA,Atlas V 401,Atlas,TDRS-L,109.0,StatusActive,Active,3826,2,0,58.3,4.2,13.8,9.797,4.75,https://en.wikipedia.org/wiki/Atlas_V
USA,"LP-0A, Wallops Flight Facility, Virginia, USA",2014,1,18,2014-01-09 18:07:00+00:00,Success,80.0 ,Northrop,Antares 120,Antares,CRS Orb-1,80.0,StatusRetired,Retired,1630,2,0,40.5,3.94,9.87,4.6,1.5,https://en.wikipedia.org/wiki/Antares_(rocket)
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,1,22,2014-01-06 22:06:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,Thaicom 6,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
India,"Second Launch Pad, Satish Dhawan Space Centre, India",2014,1,10,2014-01-05 10:48:00+00:00,Success,47.0 ,ISRO,GSLV Mk II,GSLV Mk,GSAT-14,47.0,StatusActive,Active,7887,3,4,51.7,4.0,7.8,5.0,2.5,https://en.wikipedia.org/wiki/Geosynchronous_Satellite_Launch_Vehicle
Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",2013,12,12,2013-12-28 12:30:00+00:00,Success,,VKS RF,Soyuz 2.1v/Volga,Soyuz,Cosmos 2492 and 2493 & AIST-1 1,,StatusActive,Active,,4,0,,3.7,7.7,2.85,0.0,https://en.wikipedia.org/wiki/Soyuz-2-1v
Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",2013,12,0,2013-12-25 00:31:00+00:00,Success,41.8 ,VKS RF,Rokot/Briz KM,Rokot,Cosmos 2488 to 2491,41.8,StatusRetired,Retired,,3,0,29.0,,,2.14,0.0,https://en.wikipedia.org/wiki/Rokot
France,"ELS, Guiana Space Centre, French Guiana, France",2013,12,9,2013-12-19 09:12:00+00:00,Success,,Arianespace,Soyuz ST-B/Fregat-MT,Soyuz,Gaia,,StatusActive,Active,,4,4,46.2,4.11,11.4,0.0,3.25,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b
USA,"SLC-3E, Vandenberg AFB, California, USA",2013,12,7,2013-12-06 07:14:00+00:00,Success,120.0 ,ULA,Atlas V 501,Atlas,NROL-39,120.0,StatusActive,Active,3826,2,0,62.2,5.4,26.5,8.21,3.78,https://en.wikipedia.org/wiki/Atlas_V
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2013,12,22,2013-12-03 22:41:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,SES-8,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",2013,11,12,2013-11-22 12:02:00+00:00,Success,41.8 ,VKS RF,Rokot/Briz KM,Rokot,SWARM,41.8,StatusRetired,Retired,,3,0,29.0,,,2.14,0.0,https://en.wikipedia.org/wiki/Rokot
Russia,"Site 370/13, Yasny Cosmodrome, Russia",2013,11,7,2013-11-21 07:10:00+00:00,Success,29.0 ,Kosmotras,Dnepr,Dnepr,DubaiSat 2 & Others,29.0,StatusRetired,Retired,4520,3,0,34.3,3.0,,4.5,0.0,https://en.wikipedia.org/wiki/Dnepr_(rocket)
USA,"LP-0B, Wallops Flight Facility, Virginia, USA",2013,11,1,2013-11-20 01:15:00+00:00,Success,40.0 ,Northrop,Minotaur I,Minotaur,ORS-3,40.0,StatusActive,Active,792,4,0,19.21,1.27,3.79,0.58,0.331,https://en.wikipedia.org/wiki/Minotaur_I
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2013,11,18,2013-11-18 18:28:00+00:00,Success,109.0 ,ULA,Atlas V 401,Atlas,MAVEN,109.0,StatusActive,Active,3826,2,0,58.3,4.2,13.8,9.797,4.75,https://en.wikipedia.org/wiki/Atlas_V
India,"First Launch Pad, Satish Dhawan Space Centre, India",2013,11,9,2013-11-05 09:08:00+00:00,Success,31.0 ,ISRO,PSLV-XL,PSLV,Mars Orbiter Mission,31.0,StatusActive,Active,7661,4,6,44.0,3.2,8.3,3.25,1.41,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants
USA,"SLC-4E, Vandenberg AFB, California, USA",2013,9,16,2013-09-29 16:00:00+00:00,Success,56.5 ,SpaceX,Falcon 9 v1.1,Falcon,CASSIOPE,56.5,StatusRetired,Retired,5885,2,0,68.4,5.2,13.0,13.15,4.85,https://en.wikipedia.org/wiki/Falcon_9_v1.1
China,"Jiuquan Satellite Launch Center, China",2013,9,4,2013-09-25 04:37:00+00:00,Success,,CASIC,Kuaizhou 1,Kuaizhou,Kuaizhou 1,,StatusRetired,Retired,,3,0,,1.4,4.0,0.0,0.0,https://en.wikipedia.org/wiki/Kuaizhou
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2013,9,8,2013-09-18 08:10:00+00:00,Success,140.0 ,ULA,Atlas V 531,Atlas,AEHF-3,140.0,StatusActive,Active,8892,2,3,62.2,5.4,26.5,15.53,7.45,https://en.wikipedia.org/wiki/Atlas_V
Japan,"Mu Pad, Uchinoura Space Center, Japan",2013,9,5,2013-09-14 05:00:00+00:00,Success,,JAXA,Epsilon Demo,Epsilon,SPRINT-A,,StatusRetired,Retired,1621,4,0,24.0,2.5,9.19,0.49,0.0,https://en.wikipedia.org/wiki/Epsilon_(rocket)
USA,"LP-0A, Wallops Flight Facility, Virginia, USA",2013,9,14,2013-09-13 14:58:00+00:00,Success,80.0 ,Northrop,Antares 110,Antares,CRS Orb-D1,80.0,StatusRetired,Retired,1630,2,0,40.5,3.94,4.87,0.0,0.0,https://en.wikipedia.org/wiki/Antares_(rocket)
Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",2013,9,23,2013-09-11 23:23:00+00:00,Success,41.8 ,VKS RF,Rokot/Briz KM,Rokot,"Goniets-M 14, 16 and 17",41.8,StatusRetired,Retired,,3,0,29.0,,,2.14,0.0,https://en.wikipedia.org/wiki/Rokot
